country_name,channel_title,videos,views
Mexico,VICKY RECETA FACIL,53,40187.07547169811
Germany,CreepyPastaPunch,53,83805.96226415095
Mexico,JacoboWong,53,25320.377358490565
France,Amixem,53,1942859.0377358492
S Korea,맛있는 녀석들 (Tasty Guys),53,294351.75471698114
Canada,我愛小明星大跟班,53,120378.1320754717
Mexico,gymvirtual,53,44998.0
Canada,Markiplier,53,1815002.433962264
Mexico,El Mundo del Reality,53,81018.22641509434
Canada,Mark Dice,53,243378.5849056604
Canada,The Slow Mo Guys,52,1324554.5576923077
Canada,The Late Late Show with James Corden,52,2032228.9038461538
Brazil,FutParódias,52,1560539.9038461538
Canada,The Graham Norton Show,52,544416.5192307692
France,Pr. Rachid Eljay chaine officielle 1,52,20389.576923076922
India,Dhaval Domadiya,52,463168.1538461539
S Korea,SBS 뉴스,52,635454.3076923077
Canada,The Voice,52,682166.7115384615
Germany,Phil Laude,52,263232.96153846156
Mexico,WWE,52,1187243.5192307692
Japan,釣りいろは,52,100316.23076923077
Mexico,Chino Vj Plus,52,176047.3076923077
Russia,LaLiga Santander,52,1010568.1730769231
Germany,CinemaSins,52,971208.3653846154
Germany,MaroWeltShow,52,32106.173076923078
Mexico,Los Amos del Periodismo Deportivo 2,52,141616.26923076922
Mexico,Kristoff Raczynski,51,28854.56862745098
Mexico,La Rosa De Guadalupe,51,109081.25490196078
Mexico,Nino Canún,51,5849.35294117647
Mexico,Kiwilimón,51,3288.6470588235293
France,L'ÉQUIPE,51,139865.1568627451
Brazil,NFA CHANNEL,51,770691.3921568628
Canada,Strictly Dumpling,51,405898.3725490196
Mexico,Philip DeFranco,51,969291.7058823529
France,MGR PRODUCTION,51,512349.1176470588
Germany,DAZN UEFA Champions League,51,906857.9215686275
Germany,2Bough,51,122612.8431372549
